zipcode	state	city	city_soundex	lat	lon	valid	searched
35004	AL	ACMAR	A256	86.5156	33.5841	1	1
35005	AL	ADAMSVILLE	A35214	86.9597	33.5884	1	1
35006	AL	ADGER	A326	87.1675	33.4343	1	1
35007	AL	KEYSTONE	K350	86.8129	33.2369	1	1
35010	AL	NEW SITE	N230	85.9511	32.9414	1	1
35014	AL	ALPINE	A415	86.2089	33.3312	1	1
35016	AL	ARAB	A610	86.4896	34.3283	1	1
35019	AL	BAILEYTON	B435	86.6213	34.2683	1	1
35020	AL	BESSEMER	B256	86.9475	33.409	1	1
35023	AL	HUEYTOWN	H350	86.9996	33.4146	1	1
35031	AL	BLOUNTSVILLE	B453214	86.5686	34.0929	1	1
35033	AL	BREMEN	B650	87.0043	33.9737	1	1
35034	AL	BRENT	B653	87.2114	32.9357	1	1
35035	AL	BRIERFIELD	B6143	86.9517	33.0427	1	1
35040	AL	CALERA	C460	86.756	33.1098	1	1
35042	AL	CENTREVILLE	C53614	87.1192	32.9503	1	1
35043	AL	CHELSEA	C420	86.6141	33.3716	1	1
35044	AL	COOSA PINES	C152	86.3376	33.2669	1	1
35045	AL	CLANTON	C4535	86.6425	32.8355	1	1
35049	AL	CLEVELAND	C41453	86.5594	33.9921	1	1
35051	AL	COLUMBIANA	C4515	86.6161	33.177	1	1
35053	AL	CRANE HILL	C654	87.0484	34.0821	1	1
35054	AL	CROPWELL	C614	86.28	33.5064	1	1
35055	AL	CULLMAN	C450	86.8298	34.1761	1	1
35061	AL	DOLOMITE	D453	86.9564	33.4654	1	1
35062	AL	DORA	D600	87.0401	33.7349	1	1
35063	AL	EMPIRE	E516	87.0161	33.8256	1	1
35064	AL	FAIRFIELD	F6143	86.9183	33.4735	1	1
35068	AL	COALBURG	C4162	86.8136	33.6113	1	1
35071	AL	GARDENDALE	G63534	86.8225	33.7189	1	1
35072	AL	GOODWATER	G360	86.0781	33.0746	1	1
35073	AL	ALDEN	A435	86.9482	33.6336	1	1
35077	AL	HANCEVILLE	H5214	86.7848	34.0516	1	1
35078	AL	HARPERSVILLE	H616214	86.4294	33.3675	1	1
35079	AL	HAYDEN	H350	86.8177	33.8858	1	1
35080	AL	HELENA	H450	86.8138	33.317	1	1
35083	AL	HOLLY POND	H4153	86.6174	34.1901	1	1
35085	AL	JEMISON	J525	86.7181	32.9805	1	1
35087	AL	JOPPA	J100	86.5519	34.2837	1	1
35089	AL	KELLYTON	K435	86.0484	32.9791	1	1
35091	AL	KIMBERLY	K5164	86.8084	33.7684	1	1
35094	AL	LEEDS	L320	86.5748	33.5283	1	1
35096	AL	LINCOLN	L5245	86.1112	33.6059	1	1
35098	AL	LOGAN	L250	87.0381	34.1841	1	1
35111	AL	MC CALLA	M240	87.1024	33.2845	1	1
35114	AL	MAYLENE	M450	86.8727	33.2317	1	1
35115	AL	MONTEVALLO	M314	86.8622	33.1248	1	1
35116	AL	MORRIS	M620	86.7726	33.7392	1	1
35117	AL	MOUNT OLIVE	M341	86.8717	33.6768	1	1
35118	AL	SYLVAN SPRINGS	S41521652	87.044	33.5407	1	1
35120	AL	ODENVILLE	O3514	86.409	33.6756	1	1
35121	AL	ONEONTA	O530	86.4741	33.9259	1	1
35124	AL	INDIAN SPRINGS	I53521652	86.8062	33.3105	1	1
35125	AL	PELL CITY	P423	86.3431	33.5979	1	1
35126	AL	DIXIANA	D250	86.6565	33.7081	1	1
35127	AL	PLEASANT GROVE	P4253261	86.9766	33.4883	1	1
35130	AL	QUINTON	Q535	87.1007	33.6561	1	1
35131	AL	RAGLAND	R2453	86.1619	33.7367	1	1
35133	AL	REMLAP	R541	86.6417	33.8462	1	1
35135	AL	RIVERSIDE	R1623	86.1983	33.6088	1	1
35136	AL	ROCKFORD	R2163	86.24	32.878	1	1
35143	AL	SHELBY	S410	86.5536	33.0785	1	1
35146	AL	SPRINGVILLE	S165214	86.4394	33.7386	1	1
35147	AL	STERRETT	S363	86.4917	33.4461	1	1
35148	AL	SUMITON	S535	87.0445	33.768	1	1
